City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nizhneudinsk,54.9076,99.0276,9.92,94,100,3.87,RU,1717449281
83,hotan,37.0997,79.9269,22.28,14,0,1.78,CN,1717449281
84,kodiak,57.79,-152.4072,8.73,87,100,4.12,US,1717449281
85,kingscliff,-28.2667,153.5667,9.31,93,94,1.03,AU,1717449281
86,weno,7.4515,151.8468,28.78,79,99,7.09,FM,1717449281
87,mirnyy,62.5353,113.9611,12.35,66,100,0.89,RU,1717449282
88,lebu,-37.6167,-73.65,12.33,56,100,4.35,CL,1717449282
89,college,64.8569,-147.8028,18.58,47,100,0.0,US,1717449282
90,galliano,29.4422,-90.2992,32.22,66,40,5.66,US,1717449282
91,dunedin,-45.8742,170.5036,8.78,53,22,0.45,NZ,1717449282
92,kirkwall,58.9848,-2.9587,11.03,82,100,5.14,GB,1717449282
93,haiku-pauwela,20.9219,-156.3051,28.45,78,40,10.29,US,1717449282
94,lerwick,60.1545,-1.1494,10.0,70,20,9.34,GB,1717449283
95,constitucion,-35.3333,-72.4167,14.12,59,100,0.67,CL,1717449283
96,mandalgovi,45.7625,106.2708,15.59,48,100,2.77,MN,1717449283
97,flying fish cove,-10.4217,105.6791,26.82,89,100,5.66,CX,1717449283
98,sanming,26.2486,117.6186,17.43,80,97,1.21,CN,1717449283
99,ubari,26.5921,12.7805,30.51,27,52,2.63,LY,1717449283
100,hirakud,21.5167,83.8667,27.93,60,99,2.33,IN,1717449283
101,yellowknife,62.456,-114.3525,11.9,71,75,6.71,CA,1717449283
102,maqat,47.65,53.3167,22.77,53,5,3.62,KZ,1717449283
103,uturoa,-16.7333,-151.4333,26.2,78,100,5.4,PF,1717449284
104,chonchi,-42.6128,-73.8092,8.4,86,100,2.4,CL,1717449284
105,usogorsk,63.4106,48.6872,15.37,82,27,3.73,RU,1717449284
106,utrik,11.2278,169.8474,28.07,81,96,10.28,MH,1717449284
107,wanning,18.8003,110.3967,26.75,83,94,2.87,CN,1717449285
108,sakaiminato,35.55,133.2333,16.99,88,75,3.09,JP,1717449211
109,santa cruz,-17.8,-63.1667,23.66,50,0,4.99,BO,1717449015
